input_name,sponsor_level,input_description,queried_as,match_confidence,match_score,confidence_notes,matched_name,domain,website_url,linkedin_url,twitter_url,facebook_url,industry,estimated_num_employees,annual_revenue,founded_year,city,state,country,phone,short_description,keywords,technologies,total_funding,latest_funding_stage,latest_funding_date,apollo_id,error
NetCov,Exhibitor,A managed IT services provider focused on cybersecurity and technology infrastructure for mid-sized architecture and engineering firms.,NetCov,high,0.76,"name:exact; class_overlap:3 (infrastructure,managed,technology); desc_overlap:3",NetCov,netcov.com,http://www.netcov.com,http://www.linkedin.com/company/network-coverage-inc-,,,information technology & services,350,,1996,Danvers,Massachusetts,United States,+1 888-675-8060,"NetCov is a managed IT service provider based in Danvers, Massachusetts, with 30 years of experience in delivering technology solutions. The company specializes in serving financial institutions, credit unions, nonprofits, and NGOs. With a team of over 350 technical staff, NetCov supports more than 50,000 users across 185 institutions.

The company offers a range of services, including managed IT services with 24/7 support, cybersecurity solutions, cloud services, compliance expertise, disaster recovery, IT consulting, and network security. NetCov emphasizes a ""People Before Tech"" philosophy, focusing on building strong client relationships and understanding their unique challenges. The company has received notable industry recognition, including being named the AWS Nonprofit Partner of the Year twice and ranking 55th in the Channel Futures MSP 501 for 2024.",desktop amp client support; data security management; website amp seo management; desktop client support; server management deployment; website seo management; data amp security management; business technology management; managed it services; networking infrastructure; cloud services; server management amp deployment; it services & it consulting; cloud computing; enterprise software; enterprises; computer software; information technology & services; b2b,AddThis; Apache; Atlas by Facebook; Autopilot; Avaya; Bitrix; Bootstrap Framework; CallRail; Cloudflare DNS; Django; Facebook Custom Audiences; Facebook Login (Connect); Facebook Widget; Google AdSense; Google Analytics; Google Font API; Google Maps; Google Tag Manager; Hubspot; Inspectlet; Jamf; MailChimp SPF; Media Temple DNS; Mobile Friendly; Outlook; Secured MVC Forum on Windows 2012 R2; Sendgrid; Shopify; Shutterstock; Slack; Squarespace ECommerce; TUNE; Typekit; Vimeo; Wix; Woo Commerce; WordPress.org; Yandex Metrica; YouTube; reCAPTCHA,,Venture (Round not Specified),2022-10-01T00:00:00.000+00:00,57c48d9ba6da98160dc226cc,
Newforma,Gold Sponsor,"Project information management (PIM) software that streamlines project communication, RFI tracking, and submittal workflows for AEC teams.",Newforma,high,1.0,"name:exact; class_overlap:8 (aec,communication,information,management,pim); desc_overlap:6",Newforma,newforma.com,http://www.newforma.com,http://www.linkedin.com/company/newforma-inc,http://twitter.com/Newforma,http://www.facebook.com/newformacareers,information technology & services,210,31900000.0,2003,Boston,Massachusetts,United States,+1 877-875-8252,"Newforma is a software company specializing in Project Information Management (PIM) and collaboration tools for the Architecture, Engineering, Construction, and Owner/Operator (AECO) industry. Founded in 2004, Newforma has developed solutions that enhance project delivery throughout the construction lifecycle, from design to completion. The company serves over 500,000 users across more than 1,500 firms and has supported approximately 16 million projects globally.

Newforma's flagship product, Newforma Project Center, launched in 2006, offers cloud-based and on-premise platforms tailored for AECO project management. Key features include comprehensive project information management, task assignment, workflow streamlining, and BIM collaboration tools like BIM Track. The company emphasizes customer-driven development and connected collaboration, aiming to improve project outcomes. Newforma operates from New Hampshire and fosters a culture of efficiency and innovation, with a commitment to supporting diverse workflows and enhancing communication within the industry.",building information modeling; issue tracking; construction design coordination; communication; openbim; collaboration; project information management; preconstruction; bim coordination; construction technology; pim; construction; architecture; engineering firms; building owners; real estate; software development; ifc project models; project communication; construction project digitalization; construction project management; digital twin for construction; project data exchange platform; project lifecycle management; construction workflow software,.NET; 6sense; ACL; AI; AMP; AWS Analytics; AWS Cloud Development Kit (AWS CDK); AWS CloudFormation; AWS CloudTrail; AWS CodePipeline; AWS Glue Data Catalog; AWS Key Management Service (KMS); AWS PrivateLink; AWS Secrets Manager; AWS Security Hub; AWS Step Functions; AWS Trusted Advisor; Amazon CloudFront; Amazon CloudWatch; Amazon DynamoDB; Amazon EKS Anywhere; Amazon EventBridge; Amazon GuardDuty; Amazon Kinesis; Amazon Managed Streaming for Apache Kafka (Amazon MSK); Amazon QuickSight; Amazon S3; Amazon SES; Amazon Simple Queue Service (SQS); Asana; Athena; Atlassian Cloud; Autodesk BIM Collaborate; Azure Analysis Services; Azure Pipelines; Bynder; Connect; Construct; Docker; ECS; ELK Stack; Excel4Apps; GitHub Actions; GoToMeeting; Google AdWords Conversion; Google Tag Manager; Google VPC Service Controls; Grafana; Hubspot; Jenkins; Jira; Kubernetes; Lambda Cloud; Lever; LinkedIn Ads; Looker; Marketo; Media Temple SSL; Microsoft 365; Microsoft Azure Monitor; Microsoft Defender for Cloud; Microsoft Entra ID; Microsoft Office 365; Microsoft Power Platform; Microsoft Windows Server 2012; Mimecast; Mobile Friendly; MySQL; NetSuite; Newforma Konekt; Newforma Project Center; Outlook; PostgreSQL; PowerBI Tiles; Procore; Prometheus; Pulumi; React; React Native; Redshift; Remote; Route 53; SNS; Salesforce; Salesforce Live Agent; Salesforce Service Cloud; Semrush; ServiceNow Configuration Management Database; SharePoint; Sizmek (MediaMind); Slack; Snowflake; TUNE; Tableau; Terraform; Tor; VMware vCenter; VMware vSphere; Vector; Verizon WAF; WP Engine; Wistia; WordPress.org; Zopim; ebs,25100000,Merger / Acquisition,2023-04-01T00:00:00.000+00:00,5d340de580f93e7ec9b553b7,
Nomic,Silver Sponsor,Provides financial and operational intelligence tools specifically designed for AEC firm leaders to improve profitability.,Nomic,low,0.14,name:exact; class_mismatch: industry/keywords don't match description; desc_overlap:1,Nomic,nomic.com,http://www.nomic.com,http://www.linkedin.com/company/nomic,https://twitter.com/nomic,https://www.facebook.com/nomic.hq,information technology & services,11,920000.0,2010,Oakland,California,United States,+1 415-663-6733,"Nomic is a software company that specializes in an AI-native knowledge platform designed for the architecture, engineering, and construction (AEC) sectors. The platform transforms large volumes of unstructured documents, such as drawings and specifications, into structured, searchable data. This enables organizations to operationalize their knowledge effectively, enhancing productivity and information retrieval.

Nomic's core offering includes the Nomic Parse tool, which reads and indexes complex AEC data, ensuring high accuracy even with extensive documents. The platform integrates seamlessly with existing enterprise content systems like Autodesk and SharePoint, allowing users to access and query information without needing to migrate data. It supports both technical and non-technical users through conversational interfaces, making it easier for all stakeholders to engage with institutional knowledge.

By focusing on the unique challenges of AEC workflows, Nomic aims to save significant time for engineers and project teams, facilitating tasks such as RFP preparation, QA/QC reviews, and code compliance checks. The company positions itself as a vital resource for organizations looking to enhance their document management and knowledge access capabilities.","executive search; recruiting; hospitality; small & medium businesses; local; consumer internet; internet; information technology; technology, information & internet; staffing & recruiting; leisure, travel & tourism; consumers; information technology & services",CloudFlare Hosting; Cloudflare DNS; Gmail; Google Apps; Helpscout; Mailchimp Mandrill; Remote,,,,54a116d469702d3ec0f10b00,
OpenAsset,Platinum Sponsor,A project-based digital asset management (DAM) system built for the AEC industry to help marketing teams manage photos and create proposals.,OpenAsset,high,1.0,"name:exact; class_overlap:8 (aec,asset,dam,digital,management); desc_overlap:9",OpenAsset,openasset.com,http://www.openasset.com,http://www.linkedin.com/company/openasset,https://twitter.com/OpenAsset,https://facebook.com/OpenAsset/,information technology & services,84,4000000.0,2002,New York,New York,United States,+1 917-267-0416,"OpenAsset is a digital asset management (DAM) software company based in London, United Kingdom, founded in 2004. The company specializes in providing solutions for architecture, engineering, construction (AEC), and real estate firms. OpenAsset offers a cloud-based platform that centralizes digital assets such as images, videos, design files, and project documents in a searchable repository.

The platform enhances workflows for project-driven organizations by enabling faster content creation and improved collaboration. Key features include AI-powered search tools, customizable asset organization, and integrations with AEC-specific software like ERPs and CRMs. OpenAsset also supports employee management, content creation, and sharing, making it easier for firms to manage marketing and proposals. With a focus on increasing productivity and business growth, OpenAsset has achieved a 99% customer renewal rate, demonstrating its effectiveness in the AEC industry.",proposal management; software development; aec; dam; image management; digital asset management; ai; rfp; proposal; pursuit management; marketing; sales & marketing; construction; architecture; engineering firms; proposal content management; construction tech; content reuse and repurposing; customer retention; project collaboration tools; content sharing; workflow automation; manufacturing; collaborative content sharing; ai workflow automation,AI; AWS Analytics; AWS Bedrock; AWS SDK for JavaScript; Adobe InDesign; Amazon AWS; Amazon Linux 2; Amazon S3; Amazon SageMaker; Catalyst; ChatGPT; Circle; Claude; Databricks; Datadog; Deltek; DemandBase; Docker; Drift; Dropbox; Flow; Gemini; GitHub; GitHub Actions; GitHub Copilot; Gmail; Gong; Google Apps; Grafana; Intercom; Javascript; Jupyter; Kubernetes; LangGraph; MLflow; Marketo; Microsoft Dynamics; Mixpanel; Mode; OpenTelemetry; Procore; Python; Ramp; Remote; Route 53; Rust; Salesforce; Sendoso; Slack; Terraform; Unanet; Vector; Vertex AI; Vtiger for G Suite; WP Engine; Wordpress; Zendesk; ZoomInfo; ezFlow for Google Docs for G Suite; pandas,,Other,2023-01-01T00:00:00.000+00:00,5569d6e47369642565f5a000,
Quantum Reality Capture,Exhibitor,Specializes in 3D laser scanning and reality capture services to provide high-accuracy digital twins and as-built documentation.,Quantum Reality Capture,high,0.84,"name:exact; class_overlap:3 (built,digital,scanning); desc_overlap:6",Quantum Reality Capture,quantumrealitycapture.com,http://www.quantumrealitycapture.com,http://www.linkedin.com/company/quantum-reality-capture,,,architecture & planning,11,,2020,Charleston,South Carolina,United States,+1 843-478-7221,"Precision Reality Capture to Power Every Project. Quantum Reality Capture (QRC) delivers high-accuracy LiDAR, drone, and as-built reality capture services that turn real-world spaces into precise, actionable digital data for AEC and real estate professionals, enabling better planning, design, and decision-making.",bim; lidar; lidar scanning; accurate as-built models; construction progression photos; b2b; construction & real estate; lidar technology; scalable reference models; marketing photography; architectural as-builts; virtual tours; transportation & logistics; surveying and mapping (except geophysical) services; digital models; drone services; consulting; photogrammetry; services; 3d point cloud,AI; Android; Apache; Gmail; Google Apps; Google Font API; Google Tag Manager; Gravity Forms; IoT; Mobile Friendly; NSOne; Remote; Slack; WordPress.org; reCAPTCHA,,,,63cd8082602b5a0001e6a3c9,
Seev,Exhibitor,A technology platform focused on enhancing visibility and collaboration in the construction and design process.,Seev,medium,0.52,name:exact; class_overlap:1 (technology); desc_overlap:1,Seev,seev.ai,http://www.seev.ai,http://www.linkedin.com/company/seevai,,,information technology & services,6,,2024,Montreal,Quebec,Canada,,"Seev is a Montreal-based software company that specializes in AI-driven RFP (Request for Proposal) software for public contracts. The company helps businesses quickly identify relevant public RFPs and generate proposals in under 30 minutes. Founded with a small team, Seev focuses on streamlining the RFP process for proposal teams, particularly in government and public sector bidding.

Seev's core product is an AI-powered RFP platform that surfaces the most relevant public RFPs tailored to a user's business needs. It features a Webex bot that allows teams to analyze RFPs using natural language queries, switch projects, view details, and receive notifications for new opportunities. This platform is designed for proposal managers, bid teams, and sales professionals who handle government and private RFPs.",software development; tender management; cloud storage; risk management; ai-powered decision-making; integrations; proposal generation; crm integration; government; proposal automation; automation; public contracts; data analytics; resource matching; analytics; ai delegate; workflow automation; tender portal opportunities; project management; computer systems design and related services; b2b; content matching; email management; bi dashboards; business software,AI; Gmail; Google Apps; Google Font API; Google Tag Manager; Linkedin Marketing Solutions; Microsoft Office 365; Mobile Friendly; Varnish; WordPress.org,,,,65b147c705aad406e1be3266,
SigParser,Silver Sponsor,Automated email signature parsing and contact management tool that helps firms keep their CRM data updated without manual entry.,SigParser,high,1.0,"name:exact; class_overlap:7 (contact,crm,data,email,management); desc_overlap:5",SigParser,sigparser.com,http://www.sigparser.com,http://www.linkedin.com/company/sigparser,https://www.twitter.com/SigParser,,information technology & services,14,,2017,San Diego,California,United States,+1 989-333-4334,"SigParser is a Relationship Intelligence platform that connects to the tools you already use—like email and calendars—to automatically surface valuable insights about your business relationships. 

Using AI, SigParser builds complete, real-time profiles of the people and companies you engage with, helping you understand who knows who, how well, and what matters most.

Teams across industries use SigParser to reduce manual data entry, improve client visibility, and unlock the full value of their CRM with complete, current, and actionable relationship data.",software development; relationship data enrichment; contact enrichment; gdpr compliance; relationship metrics; professional services; historical data analysis; relationship tracking; real estate; data enrichment; email parsing; relationship network; api access; relationship monitoring; relationship scoring; relationship management; crm integration; manufacturing; lead generation; relationship data; venture capital & private equity; data cleansing; data security; relationship data export; data warehouse integration,AI; Amazon AWS; Amazon CloudFront; Amazon SES; Android; Circle; CloudFlare Hosting; Cloudflare DNS; GitHub Hosting; Gmail; Google Analytics; Google Apps; Google Font API; Google Tag Manager; Intercom; IoT; MailChimp SPF; Microsoft Office 365; Mobile Friendly; Rackspace MailGun; Remote; Route 53; Sendgrid; Slack; Stripe; Vimeo,,,,5b15f315a6da986956c8f479,
/slantis,Silver Sponsor,A BIM consultancy and technology firm helping AEC companies implement digital transformation and complex BIM workflows.,/slantis,medium,0.44,name:partial ('slantis' vs '/slantis'); class_overlap:1 (bim); desc_overlap:4,slantis,slantis.com,http://www.slantis.com,http://www.linkedin.com/company/slantis,,,architecture & planning,130,,2015,San Francisco,California,United States,+1 800-644-6080,"Slantis is a women-owned architecture and technology firm based in the United States, founded in 2016 by licensed architects Andy Robert and Mercedes Carriquiry. The company specializes in Building Information Modeling (BIM) production and consulting services for the architecture, engineering, and construction (AEC) industry. With a team of 51-200 employees, Slantis supports a diverse range of clients, including large architecture firms, construction companies, and niche practitioners.

The firm offers two main service categories: Architecture Production & Coordination and BIM Consulting. Their architecture services include BIM production through cloud-based technology, covering As-builts, Design Development, and Construction Documents. In BIM Consulting, Slantis provides customized support for BIM adoption, including training and workflow automation. The company is known for its technical expertise in tools like Revit and Dynamo, and it conducts focused projects to test design solutions in real architectural conditions. Slantis fosters a culture of Justice, Equity, Diversity, and Inclusion, with a significant representation of women in leadership roles.",architecture amp design; san francisco; architecture design; bim solutions; visualization; design development; bim; architecture; architectural outsoucing; architecture production; python; dynamo; construction documents; interior design; building information modeling; landscape amp planning; bim coordination; us; 3d rendering; revit; interior design furniture design; landscape planning; interior design amp furniture design; bim bep; bim workflow,Adobe Media Optimizer; Amazon AWS; Autodesk BIM Collaborate; Cedexis Radar; Gmail; Google Apps; Google Tag Manager; Hubspot; Mapbox; Microsoft Office 365; Mobile Friendly; Revit; Slack; Vimeo,,,,57c50684a6da986ad697fc4d,
slashBlue,Gold Sponsor,An IT consulting and managed services firm that helps AEC firms modernize their technology stacks and secure their digital environments.,slashBlue,high,0.92,"name:exact; class_overlap:4 (consulting,digital,managed,technology); desc_overlap:5",slashBlue,slashblue.com,http://www.slashblue.com,http://www.linkedin.com/company/slashblue,https://twitter.com/slashBlueIT,https://facebook.com/slashBlueIT,information technology & services,16,29246000.0,2003,Arden Hills,Minnesota,United States,+1 651-846-6896,"slashBlue is an IT services and consulting company founded in 2003 and based in Arden Hills, Minnesota. The company specializes in purpose-driven technology solutions that enhance business performance and support digital transformation. With a team of 11-50 employees, slashBlue focuses on aligning organizational purpose with tailored IT tools, particularly for engineering firms in the Twin Cities area.

The company offers a range of services, including managed IT services, cybersecurity, IT advisory and consulting, and organizational performance consulting. These services are designed to help businesses optimize their IT processes, ensure security, and make informed technology decisions. Celebrating its 22nd anniversary in April 2025, slashBlue emphasizes its commitment to client trust and robust cybersecurity in delivering effective technology solutions.",manage services; purpose management; organizational performance; technology consulting; technology strategy; cybersecurity; managed services; it support; digital transformation; vendor risk assessment; data protection; security operations center; vendor risk management; industry-specific applications; threat intelligence; purpose-powered technology; growth through cybersecurity; managed it; b2b; regulatory compliance; penetration testing; consulting; cybersecurity as revenue driver; proactive cybersecurity; it optimization,AI; ANGEL LMS; AWS VPN; Autotask; Barracuda Spam Firewall; Blueprint; Campaign Monitor; Cisco WebEx Teams; Claude; CloudFlare Hosting; Cloudflare DNS; DNS Made Easy; ExtremeSwitching; Google Cloud Hosting; Google Font API; Google Tag Manager; Google Workspace; LinkedIn Ads; Mailchimp Mandrill; Micro; Microsoft Azure; Microsoft Office 365; Microsoft Teams Rooms; Mimecast; Mobile Friendly; NSOne; Outlook; QuickBooks; Rackspace MailGun; Remote; Sequence Monitor SPF; Slack; Swapcard; VLAN; YouTube,,,,54a1286969702d9b8bae1901,
STEPS Consulting Group,Exhibitor,"Provides strategic consulting services for AEC firms, focusing on leadership development, operations, and firm growth.",STEPS Consulting Group,high,0.88,"name:exact; class_overlap:4 (consulting,development,leadership,strategic); desc_overlap:4",STEPS Consulting Group,stepsconsulting.com,http://www.stepsconsulting.com,http://www.linkedin.com/company/stepsconsulting,,,management consulting,14,,2023,Overland Park,Kansas,United States,+1 913-347-8377,"STEPS Consulting Group, LLC is a professional services firm based in Kansas, specializing in AI, machine learning, consulting, and data analytics. With a small team, the company focuses on delivering automation, analytical, and human augmentation solutions tailored for enterprise applications. 

The firm offers full-lifecycle AI services, providing strategic guidance and support for organizations at any stage of their AI journey. Their core services include automation solutions, analytical capabilities, and human augmentation technologies. STEPS integrates strategic, operational, and technical expertise to enhance business performance and drive long-term organizational transformation. They work with a diverse range of clients, including large enterprises and high-growth businesses, to address their unique challenges and opportunities.",artificial intelligence; process automation; data expertise; business consulting & services; generative ai; top industry clients; business intelligence; technology consulting; data harnessing; operational efficiencies; consulting; emerging technology; management consulting; b2b; strategic insights; data analytics; government; ai for competitive advantage; technology leadership; digital strategy; digital transformation; business transformation; enterprise applications; complex integrations; business-ready automation,AI; Android; Circle; Cloudflare DNS; Microsoft Office 365; Mobile Friendly; Outlook; Slack; Squarespace ECommerce; Typekit,,,,65bae92e9fedd80300263242,
Structured AI,Exhibitor,Develops AI solutions for the structural engineering industry to automate design tasks and improve structural analysis efficiency.,Structured AI,low,0.22,name:exact; class_mismatch: industry/keywords don't match description; desc_overlap:3,Structured AI,getstructured.ai,http://www.getstructured.ai,http://www.linkedin.com/company/getstructured-ai,,,information technology & services,7,,,New York,New York,United States,,"Structured AI is a UK-based startup focused on developing an AI workforce for construction design engineering. The company specializes in AI agents that automate quality control on technical documents and drawings within the Architecture, Engineering, and Construction (AEC) industry. Founded by AI researchers from Oxford University, Structured AI aims to address costly errors in construction design, such as clashes and code violations, which can lead to delays and increased costs.

The core offering is an AI-powered quality assurance platform that automates repetitive design engineering workflows. Key features include automated drawing reviews that identify inconsistencies and code issues, AI agents that learn company standards, and integration with CAD and BIM tools. The platform enhances collaboration and streamlines technical paperwork management, making it easier for engineers to focus on high-value tasks. Structured AI is backed by seed funding and has garnered trust from leading AEC firms, including Syska Hennessy Group.",software development; information technology & services,AT&T; Azure Analysis Services; Gmail; Google Apps; Javascript; Microsoft Office 365; Mobile Friendly; Python; Svelte; TypeScript,480000,Seed,2025-07-01T00:00:00.000+00:00,687f4e94d06f9e002128a55e,
TrebleHook,Exhibitor,A CRM and project pursuit platform built on Salesforce specifically for the AEC industry to manage the business development lifecycle.,TrebleHook,high,1.0,"name:exact; class_overlap:8 (aec,business,crm,development,lifecycle); desc_overlap:7",TrebleHook,treblehook.com,http://www.treblehook.com,http://www.linkedin.com/company/treblehook,,,information technology & services,16,,2021,Greenville,South Carolina,United States,,"TrebleHook is a CRM and project pursuit platform designed specifically for Architecture, Engineering, and Construction (AEC) firms. Launched in 2021 by TPM, a technology company with a long history in the AEC industry, TrebleHook enhances project lifecycles from pursuit to completion. It integrates with Salesforce to provide a centralized source of client and project data, replacing outdated tools like Excel and Outlook.

The platform offers features for project lifecycle management, relationship management, and customization to fit AEC workflows. It helps users identify profitable projects, supports decision-making with dashboards and reporting, and enhances collaboration among teams. TrebleHook is designed to improve efficiency, profitability, and compliance monitoring, making it a valuable tool for AEC professionals.

Headquartered in Greenville, South Carolina, TrebleHook operates with a small team and has been recognized as one of the most exciting startups in the area. Its pricing is tailored to meet the needs of AEC firms, making it accessible for various users in the industry.",architecture crm; thirdpart system integration; engineering crm; scalable & flexible crm solution; aec crm; client communication tools; workflow automation; project data centralization; data insights & analytics; construction crm; software development; pursuit management; salesforce integration; prospect management; crm for engineering; data synchronization; project pursuit workflows; project tracking; pipeline management; engineering; services; salesforce platform; project pursuit software; bid management; client relationship management,AI; Active Campaign; DoubleClick; DoubleClick Conversion; Facebook Custom Audiences; Facebook Login (Connect); Facebook Widget; Google Cloud Hosting; Google Dynamic Remarketing; Google Font API; Google Tag Manager; Hotjar; Linkedin Marketing Solutions; Microsoft Office 365; Mobile Friendly; Nginx; Olark; Outlook; Pardot; Remote; Salesforce; Slack; WP Engine; WordPress.org,,,,60b21031d7957c000181b311,
UpCodes,Silver Sponsor,A searchable platform for building codes that integrates with BIM software to help AEC professionals ensure code compliance in real-time.,UpCodes,high,0.68,name:exact; class_overlap:1 (compliance); desc_overlap:7,UpCodes,up.codes,http://www.up.codes,http://www.linkedin.com/company/upcodes,https://twitter.com/upcodes,https://www.facebook.com/upcodes/,information technology & services,46,2000000.0,2016,Austin,Texas,United States,,"UpCodes is a technology company focused on improving the architecture, engineering, and construction (AEC) industry through digital tools and an online library. It provides streamlined access to building codes, assemblies, and product research, helping teams simplify compliance and reduce inefficiencies. By addressing the complexities and costs associated with compliance errors, UpCodes enables professionals to build more affordably and efficiently.

The company offers an online library that serves as a centralized resource for codes and product information, along with compliance and project management tools that automate processes throughout the project lifecycle. These solutions help AEC teams save time, cut costs, and enhance productivity. UpCodes aims to bridge the gap between technology and traditional regulatory processes, making daily tasks easier for professionals in the industry.",architecture; compliance; engineering; construction,AI; Amazon AWS; Amplitude; Android; Chargebee; Circle; Freshdesk; Gmail; Google Analytics; Google Apps; Google Workspace; Hubspot; IoT; Leadfeeder; React Native; Remote; Route 53; Webflow,7770000,Series A,2024-08-01T00:00:00.000+00:00,57c4b8bfa6da983672b7f4b8,
Unanet,Exhibitor,"Provides project-based ERP and CRM solutions designed specifically for AEC firms to manage projects, people, and financials in one place.",Unanet,high,1.0,"name:exact; class_overlap:5 (aec,crm,erp,financials,project); desc_overlap:7",Unanet,unanet.com,http://www.unanet.com,http://www.linkedin.com/company/unanet-technologies,https://twitter.com/unanettech,https://www.facebook.com/pages/category/Software-Company/Unanet-99998461372/,information technology & services,330,50000000.0,1988,,,,+1 855-321-0034,"Unanet is a provider of AI-first ERP and CRM software solutions designed for project-based businesses, including government contractors, architecture, engineering, and construction firms, as well as professional services organizations. Founded in 1988 and headquartered in Dulles, Virginia, Unanet emphasizes a people-first culture and offers an integrated platform that combines financials, projects, and customer relationships with automation and real-time insights.

The platform features user-friendly ERP and CRM solutions tailored for project lifecycle management, including tools for timesheets, project accounting, and resource planning. Unanet's cloud-based system supports over 4,000 customers, helping them turn data into actionable insights. The company is committed to customer success and innovation, with a focus on empowering teams and simplifying operations. Under the leadership of CEO Craig Halliday, Unanet continues to grow and adapt to the needs of its clients.",project management software; unanet; budgeting & planning; financials; dcaa compliance; engineering; resource planning; projectbased erp; project accounting software; timesheets; project billing & revenue recognition; projectmanagementsoftware; governmentcontracting; expense reporting; dcaa; projectaccountingsoftware; projectbasederp; software development; project management; workflow automation; event management; customizable dashboards; industry-specific workflows; industry-specific dashboards; customer support,.NET; AI; AWS Analytics; AWS GovCloud; AWS Network Firewall; AWS SDK for JavaScript; AWS Secrets Manager; Acumatica; Amadesa; Amazon CloudWatch; Amazon EC2; Amazon EKS Anywhere; Amazon SES; Amplitude; Android; Apache Tomcat; Atlassian Cloud; Atlassian Confluence; Azure Key Vault; Barracuda Networks; Bing Ads; Bootstrap Framework; CallMiner Eureka; Chartbeat; Confluence; Conversant; DemandBase; DoubleClick; DoubleClick Conversion; DoubleClick Floodlight; Drift; Drupal; Facebook Custom Audiences; Facebook Login (Connect); Facebook Widget; Freshdesk; Fusioncharts JS Library; GitLab; Gmail; Google AdWords Conversion; Google Analytics 4 (GA4); Google Apps; Google Cloud APIs; Google Dynamic Remarketing; Google Firebase Crashlytics; Google Font API; Google Tag Manager; Grafana; Grafana Loki; Greenhouse.io; HELM; Hubspot; Jira; Kubernetes; LinkedIn Learning; Linkedin Login; Linkedin Marketing Solutions; Linkedin Widget; LiveRamp; MailChimp SPF; Mailchimp Mandrill; Microsoft Azure Hosting; Microsoft Excel; Microsoft Office 365; Mobile Friendly; MouseFlow; Nevron Vision for SSRS; ON24; Oracle Fusion Middleware; Outlook; Paylocity; Pingdom; PowerBI Tiles; Prometheus; Python; QuickBooks; REST; React; React Redux; Remote; Route 53; SQL; Salesforce; Sendgrid; Sendoso; SharePoint; Shutterstock; Sigma; Sizmek (MediaMind); Slack; Terraform; Typekit; Unanet; VictoriaMetrics; WordPress.org; monday CRM,49120000,Merger / Acquisition,2025-02-01T00:00:00.000+00:00,5ed75d606e3b0800010c21be,
Vavetek AI,Exhibitor,An AI-driven platform focusing on enhancing design workflows and decision-making processes for architects and engineers.,Vavetek AI,medium,0.56,name:exact; class_overlap:1 (driven); desc_overlap:2,Vavetek AI,vavetek.ai,http://www.vavetek.ai,http://www.linkedin.com/company/vavetekai,,,information technology & services,12,,,Singapore,,Singapore,+91 11470 18293,"Vavetek AI is a Singapore-based SaaS startup founded in 2023, specializing in AI and machine learning solutions for the Architecture, Engineering, and Construction (AEC) industry. The company focuses on optimizing large-scale construction projects by reducing costs, automating processes, and enhancing efficiency. Vavetek AI's headquarters is located at High Street Plaza in Singapore.

The company's flagship product, BAMROC, is an AI-powered copilot designed to automatically detect and resolve clashes in Building Information Modeling (BIM) models, particularly for Mechanical, Electrical, and Plumbing (MEP) systems. BAMROC can resolve up to 94% of clashes in large projects and offers features like rebar congestion detection and 3D modeling automation. Vavetek AI also provides a range of services that include BIM coordination, energy optimization, and workflow automation, all aimed at improving project efficiency and sustainability.","technology, information & internet; automated conflict resolution; automated reporting; project collaboration; ai-based clash prediction; ai bim clash visualization; software as a service; cost reduction; energy efficiency; machine learning; architectural design; building lifecycle management; construction process automation; project management; energy optimization; construction & real estate; ai for structural clash detection; automated bim clash removal; automated mep clash resolution; engineering services; ai bim copilot; ai for construction design; b2b; model optimization; ai clash detection saas",AI; Gmail; GoDaddy Hosting; Google Ads; Google Apps; Google Font API; Google Tag Manager; LinkedIn Ads; Linkedin Marketing Solutions; Mobile Friendly; Twitter Advertising; Varnish; Vimeo; WordPress.org; YouTube,,,,65b07c90f4afc60454ee3185,
Visual Workforce,Silver Sponsor,A skills management and workforce planning platform that helps firms visualize their employees' capabilities for better project staffing.,Visual Workforce,high,0.92,"name:exact; class_overlap:4 (management,planning,skills,workforce); desc_overlap:6",Visual Workforce,visualworkforce.com,http://www.visualworkforce.com,http://www.linkedin.com/company/visualworkforce,https://twitter.com/visualworkforce,,information technology & services,6,,2017,Richmond,Virginia,United States,+1 540-577-3510,"Visual Workforce is a software development company based in Richmond, Virginia, founded in 2017. With a small team, the company specializes in skills management, talent intelligence, and workforce planning platforms. It evolved from an internal tool of an IT staffing and recruiting firm into a comprehensive skills intelligence platform that helps organizations make data-driven decisions about their talent.

The core offering is a talent management solution that includes skills tracking, an AI-powered skills engine, and workforce visualizations. These features allow organizations to capture employee skills, identify gaps, and support strategic planning. The platform emphasizes user-friendly visualizations, enabling rapid insights for professional services and IT sectors. Visual Workforce aims to enhance internal mobility, succession planning, and team building while optimizing talent management processes.",succession planning; internal mobility; skills based organization; skills management; skills intelligence; skills tracking; talent intelligence; skills framework; skills matrix; job architecture; workforce planning; software development; skills proficiency matrix; talent strategy; information technology & services; skills intelligence platform; services; talent management; business intelligence; hris integration; career pathing; skills gaps analysis; skills-based organization; skills taxonomy; employee skills tracking,Amazon AWS; Cloudflare DNS; DoubleClick; DoubleClick Conversion; Google Dynamic Remarketing; Google Font API; Google Tag Manager; Hubspot; LeadForensics; Linkedin Marketing Solutions; Microsoft Office 365; Mobile Friendly; Remote; Sendgrid; Slack; Squarespace ECommerce; Typekit; Vimeo; YouTube,2575000,Other,2023-10-01T00:00:00.000+00:00,5b847068324d445a3ee38f79,
